Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
442,Josh Rojas*,29,ARI,NL,51,193,169,22,41,12,0,0,26,6,0,16,45,.243,.305,.314,.619,72,53,0,1,1,4,0,5/H4D7,rojasjo01
443,Miguel Rojas,34,LAD,NL,41,140,132,12,28,5,0,0,6,3,1,6,17,.212,.243,.250,.493,34,33,2,0,0,2,0,6/HD,rojasmi02
444,Brent Rooker,28,OAK,AL,57,228,195,29,51,10,0,13,37,1,0,27,61,.262,.360,.513,.872,148,100,7,4,0,2,1,D7/H9,rookebr01
445,Ben Rortvedt*,25,NYY,AL,5,9,7,2,2,1,0,0,0,0,0,2,2,.286,.444,.429,.873,146,3,0,0,0,0,0,/2,rortvbe01
446,Amed Rosario,27,CLE,AL,58,252,233,29,55,11,4,1,17,8,0,16,54,.236,.286,.330,.616,74,77,8,1,0,2,0,*6/HD,rosaram01
447,Eddie Rosario*,31,ATL,NL,56,206,198,24,50,11,2,8,26,1,3,7,53,.253,.277,.449,.726,92,89,5,0,0,1,1,*7/DH,rosared01
448,Darin Ruf,36,TOT,NL,20,57,49,3,11,3,0,0,3,0,0,8,16,.224,.333,.286,.619,74,14,0,0,0,0,0,D/H3,rufda01
449,Darin Ruf,36,SFG,NL,9,27,23,1,6,2,0,0,3,0,0,4,9,.261,.370,.348,.718,100,8,0,0,0,0,0,/DH,rufda01
450,Darin Ruf,36,MIL,NL,11,30,26,2,5,1,0,0,0,0,0,4,7,.192,.300,.231,.531,50,6,0,0,0,0,0,/D3H,rufda01
451,Esteury Ruiz,24,OAK,AL,65,288,259,28,68,15,1,1,28,31,6,11,49,.263,.323,.340,.662,92,88,2,12,3,0,0,*8/DH,ruizes01
452,José Ruiz,28,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,ruizjo01
453,José Ruiz,28,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,ruizjo01
454,Keibert Ruiz#,24,WSN,NL,52,217,196,18,46,8,0,7,25,0,0,15,17,.235,.304,.383,.687,92,75,10,5,0,1,0,*2/H,ruizke01
455,Adley Rutschman#,25,BAL,AL,63,282,234,32,64,8,0,8,28,0,1,46,40,.274,.390,.410,.800,126,96,5,0,0,2,5,*2D/H,rutscad01
456,Blake Sabol*,25,SFG,NL,48,169,153,18,38,5,0,7,20,2,0,13,57,.248,.320,.418,.738,101,64,2,3,0,0,0,27/DH,sabolbl01
457,César Salazar*,27,HOU,AL,12,18,17,1,2,0,0,0,0,0,0,1,6,.118,.167,.118,.284,-19,2,0,0,0,0,0,/2H,salazce01
458,Gary Sánchez,30,TOT,NL,15,53,49,8,12,2,0,5,13,0,0,3,17,.245,.283,.592,.875,138,29,0,0,0,1,0,2/DH,sanchga02
459,Gary Sánchez,30,NYM,NL,3,7,6,0,1,0,0,0,1,0,0,0,3,.167,.143,.167,.310,-13,1,0,0,0,1,0,/2,sanchga02
460,Gary Sánchez,30,SDP,NL,12,46,43,8,11,2,0,5,12,0,0,3,14,.256,.304,.651,.956,160,28,0,0,0,0,0,/2DH,sanchga02
461,Jesús Sánchez*,25,MIA,NL,41,122,109,14,30,9,0,6,18,3,0,12,34,.275,.352,.523,.875,137,57,5,1,0,0,0,9/H78D,sanchje02
462,Cole Sands,25,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,sandsco01
463,Carlos Santana#,37,PIT,NL,57,239,207,25,47,15,0,4,28,5,0,30,43,.227,.322,.357,.680,87,74,2,0,0,2,0,*3/D,santaca01
464,Anthony Santander#,28,BAL,AL,61,261,231,29,60,19,1,9,36,1,0,25,63,.260,.333,.468,.801,122,108,5,2,0,3,0,9D/37H,santaan02
465,Tayler Saucedo*,30,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,sauceta01
466,Josh Sborz,29,TEX,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,sborzjo01
467,Casey Schmitt,24,SFG,NL,29,111,108,14,31,9,0,2,18,2,1,1,22,.287,.297,.426,.723,96,46,2,1,0,1,0,6/54H,schmica01
468,Jonathan Schoop,31,DET,AL,40,106,95,8,18,5,0,0,2,0,0,11,27,.189,.274,.242,.516,47,23,3,0,0,0,0,4H5/D6,schoojo01
469,John Schreiber,29,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,schrejo01
